ongress,number,bill_type,is_alive,current_status,committees, cosponsors, current_status_date, current_status_description, introduced_date, sponsor, sponsor_role,title_without_number
111,3947,house_bill,False,referred,,,2009-10-28,"This bill was introduced on October 28, 2009, in a previous session of Congress, but was not enacted.",2009-10-28,{},{},Locomotive Fleet Investment Act of 2009
111,3948,house_bill,False,reported,,,2010-03-04,"This bill was introduced on March 4, 2010, in a previous session of Congress, but was not enacted.",2009-10-28,{},{},Test Prep for Heroes Act
106,2668,house_bill,False,reported,,,1999-08-02,"This bill was introduced on August 2, 1999, in a previous session of Congress, but was not enacted.",1999-08-02,{},{},Campaign Reform and Election Integrity Act of 1999
106,2669,house_bill,False,reported,,,1999-10-06,"This bill was introduced on October 6, 1999, in a previous session of Congress, but was not enacted.",1999-08-02,{},{},Coastal Community Conservation Act of 1999
111,1018,house_bill,False,pass_over_house,,,2009-07-17,"This bill was introduced in a previous session of Congress and was passed by the House on July 17, 2009 but was never passed by the Senate.",2009-02-12,{},{},Restore Our American Mustangs Act
111,1548,house_bill,False,referred,,,2009-03-17,"This bill was introduced on March 17, 2009, in a previous session of Congress, but was not enacted.",2009-03-17,{},{},Pathway for Biosimilars Act
111,1549,house_bill,False,referred,,,2009-03-17,"This bill was introduced on March 17, 2009, in a previous session of Congress, but was not enacted.",2009-03-17,{},{},Preservation of Antibiotics for Medical Treatment Act of 2009
111,4061,house_bill,False,pass_over_house,,,2010-02-04,"This bill was introduced in a previous session of Congress and was passed by the House on February 4, 2010 but was never passed by the Senate.",2009-11-07,{},{},Cybersecurity Enhancement Act of 2010
111,1014,house_bill,False,referred,,,2009-02-12,"This bill was introduced on February 12, 2009, in a previous session of Congress, but was not enacted.",2009-02-12,{},{},No Taxation Without Representation Act
111,1547,house_bill,False,referred,,,2009-03-17,"This bill was introduced on March 17, 2009, in a previous session of Congress, but was not enacted.",2009-03-17,{},{},Stephanie Tubbs Jones Collegiate Housing and Infrastructure Act of 2009
111,1544,house_bill,False,referred,,,2009-03-17,"This bill was introduced on March 17, 2009, in a previous session of Congress, but was not enacted.",2009-03-17,{},{},Veterans Mental Health Accessibility Act
111,1545,house_bill,False,referred,,,2009-03-17,"This bill was introduced on March 17, 2009, in a previous session of Congress, but was not enacted.",2009-03-17,{},{},To amend the Internal Revenue Code of 1986 to make the credit for research activities permanent and to provide an increase in such credit for taxpayers whose gross receipts are predominantly from domestic production activities.
109,3657,house_bill,False,referred,,,2005-09-06,"This bill was introduced on September 6, 2005, in a previous session of Congress, but was not enacted.",2005-09-06,{},{},International Marriage Broker Regulation Act of 2005
112,939,senate_bill,False,referred,,,2011-05-10,"This bill was introduced on May 10, 2011, in a previous session of Congress, but was not enacted.",2011-05-10,{},{},Sustainable Water Infrastructure Investment Act of 2011
109,3870,house_bill,False,referred,,,2005-09-22,"This bill was introduced on September 22, 2005, in a previous session of Congress, but was not enacted.",2005-09-22,{},{},To amend part D of title XVIII of the Social Security Act to delay for 2 years implementation of the Medicare prescription drug benefit for individuals who are not lowest-income subsidy eligible individuals.
109,3875,house_bill,False,referred,,,2005-09-22,"This bill was introduced on September 22, 2005, in a previous session of Congress, but was not enacted.",2005-09-22,{},{},Access to Emergency Medical Services Act of 2005
111,82,house_bill,False,referred,,,2009-01-06,"This bill was introduced on January 6, 2009, in a previous session of Congress, but was not enacted.",2009-01-06,{},{},"To expand retroactive eligibility of the Army Combat Action Badge to include members of the Army who participated in combat during which they personally engaged, or were personally engaged by, the enemy at any time on or after December 7, 1941."
112,84,house_concurrent_resolution,False,referred,,,2011-11-03,"This resolution was introduced on November 3, 2011, in a previous session of Congress, but was not enacted.",2011-11-03,{},{},Recognizing the disparate impact of climate change on women and the efforts of women globally to address climate change.
109,2679,house_bill,False,pass_over_house,,,2006-09-26,"This bill was introduced in a previous session of Congress and was passed by the House on September 26, 2006 but was never passed by the Senate.",2005-05-26,{},{},"Veterans’ Memorials, Boy Scouts, Public Seals, and Other Public Expressions of Religion Protection Act of 2006"
111,80,house_bill,False,pass_over_house,,,2009-02-24,"This bill was introduced in a previous session of Congress and was passed by the House on February 24, 2009 but was never passed by the Senate.",2009-01-06,{},{},Captive Primate Safety Act
109,4061,house_bill,False,pass_over_house,,,2005-11-02,"This bill was introduced in a previous session of Congress and was passed by the House on November 2, 2005 but was never passed by the Senate.",2005-10-17,{},{},Department of Veterans Affairs Information Technology Management Improvement Act of 2005
106,2596,house_bill,False,referred,,,1999-07-22,"This bill was introduced on July 22, 1999, in a previous session of Congress, but was not enacted.",1999-07-22,{},{},Realistic Tests for Realistic Threats National Security Act of 1999
108,2090,house_bill,False,referred,,,2003-05-14,"This bill was introduced on May 14, 2003, in a previous session of Congress, but was not enacted.",2003-05-14,{},{},To limit the redistricting that States may do after an apportionment of Representatives.
112,1077,house_bill,False,referred,,,2011-03-15,"This bill was introduced on March 15, 2011, in a previous session of Congress, but was not enacted.",2011-03-15,{},{},CHEF Act
111,771,house_resolution,False,passed_simpleres,,,2010-11-29,"This simple resolution was agreed to on November 29, 2010. That is the end of the legislative process for a simple resolution.",2009-09-24,{},{},Supporting the goals and ideals of a National Mesothelioma Awareness Day.
111,776,house_resolution,False,passed_simpleres,,,2010-01-19,"This simple resolution was agreed to on January 19, 2010. That is the end of the legislative process for a simple resolution.",2009-09-24,{},{},"Congratulating the Dartmouth Outing Club of Hanover, New Hampshire, for 100 years of service to the United States and its wilderness."
107,1490,house_bill,False,referred,,,2001-04-04,"This bill was introduced on April 4, 2001, in a previous session of Congress, but was not enacted.",2001-04-04,{},{},Homebound Clarification Act of 2001
111,85,house_bill,False,referred,,,2009-01-06,"This bill was introduced on January 6, 2009, in a previous session of Congress, but was not enacted.",2009-01-06,{},{},Marriage Tax Penalty Permanent Elimination Act of 2009
107,1494,house_bill,False,referred,,,2001-04-04,"This bill was introduced on April 4, 2001, in a previous session of Congress, but was not enacted.",2001-04-04,{},{},National Forest Protection and Restoration Act of 2001
109,677,house_bill,False,referred,,,2005-02-08,"This bill was introduced on February 8, 2005, in a previous session of Congress, but was not enacted.",2005-02-08,{},{},"For the relief of Kadiatou Diallo, Laouratou Diallo, Ibrahima Diallo, Abdoul Diallo, Mamadou Bobo Diallo, Mamadou Pathe Diallo, Fatoumata Traore Diallo, Sankarela Diallo, and Marliatou Bah."
109,676,house_bill,False,referred,,,2005-02-08,"This bill was introduced on February 8, 2005, in a previous session of Congress, but was not enacted.",2005-02-08,{},{},Expanded and Improved Medicare for All Act
108,314,house_bill,False,pass_over_house,,,2003-03-19,"This bill was introduced in a previous session of Congress and was passed by the House on March 19, 2003 but was never passed by the Senate.",2003-01-08,{},{},Mortgage Servicing Clarification Act
112,1980,house_bill,False,referred,,,2011-05-25,"This bill was introduced on May 25, 2011, in a previous session of Congress, but was not enacted.",2011-05-25,{},{},Gold Star Mothers National Monument Act of 2011
108,316,house_bill,False,referred,,,2003-01-08,"This bill was introduced on January 8, 2003, in a previous session of Congress, but was not enacted.",2003-01-08,{},{},"To eliminate certain restrictions on the availability of credits under title III of the Energy Policy Act of 1992 for the use of biodiesel fuel, and for other purposes."
110,4063,house_bill,False,referred,,,2007-11-01,"This bill was introduced on November 1, 2007, in a previous session of Congress, but was not enacted.",2007-11-01,{},{},Restitution for the Exonerated Act of 2007
110,4061,house_bill,False,referred,,,2007-11-01,"This bill was introduced on November 1, 2007, in a previous session of Congress, but was not enacted.",2007-11-01,{},{},"To allow employees of a commercial passenger airline carrier who receive payments in a bankruptcy proceeding to roll over such payments into an individual retirement plan, and for other purposes."
111,112,house_concurrent_resolution,False,referred,,,2009-04-28,"This resolution was introduced on April 28, 2009, in a previous session of Congress, but was not enacted.",2009-04-28,{},{},Expressing support for designation of a “National Lao-Hmong Recognition Day”.
110,6520,house_bill,False,referred,,,2008-07-16,"This bill was introduced on July 16, 2008, in a previous session of Congress, but was not enacted.",2008-07-16,{},{},To increase global stability and security for the United States and the international community by reducing the number of individuals who are de jure or de facto stateless and at risk of being trafficked.
110,4066,house_bill,False,referred,,,2007-11-01,"This bill was introduced on November 1, 2007, in a previous session of Congress, but was not enacted.",2007-11-01,{},{},Close the Enron Loophole Act
111,117,house_concurrent_resolution,False,referred,,,2009-05-04,"This resolution was introduced on May 4, 2009, in a previous session of Congress, but was not enacted.",2009-05-04,{},{},"Commemorating the 40th Anniversary of humanity’s first landing on the Moon, celebrating the success of the United States human space flight program, and recognizing the accomplishments of NASA’s human space flight centers."
111,270,house_bill,False,referred,,,2009-01-07,"This bill was introduced on January 7, 2009, in a previous session of Congress, but was not enacted.",2009-01-07,{},{},TRICARE Continuity of Coverage for National Guard and Reserve Families Act of 2009
108,2327,house_bill,False,referred,,,2003-06-04,"This bill was introduced on June 4, 2003, in a previous session of Congress, but was not enacted.",2003-06-04,{},{},Lewis and Clark National Historic Trail Extension Act of 2003
109,222,house_resolution,False,referred,,,2005-04-19,"This resolution was introduced on April 19, 2005, in a previous session of Congress, but was not enacted.",2005-04-19,{},{},Supporting the goals and ideals of a National Day of Remembrance for Murder Victims.
111,275,house_bill,False,referred,,,2009-01-07,"This bill was introduced on January 7, 2009, in a previous session of Congress, but was not enacted.",2009-01-07,{},{},To repeal the imposition of 3 percent withholding on certain payments made to vendors by government entities.
107,387,house_concurrent_resolution,False,passed_concurrentres,,,2002-06-18,"This concurrent resolution was agreed to by both chambers of Congress on June 18, 2002. That is the end of the legislative process for concurrent resolutions. They do not have the force of law.",2002-04-25,{},{},Recognizing the American Society of Civil Engineers for reaching its 150th Anniversary and for the many vital contributions of civil engineers to the quality of life of our Nation’s people including the research and development projects that have led to the physical infrastructure of modern America.
108,2329,house_bill,False,referred,,,2003-06-04,"This bill was introduced on June 4, 2003, in a previous session of Congress, but was not enacted.",2003-06-04,{},{},Global Pathogen Surveillance Act of 2003
108,2328,house_bill,False,enacted_signed,,,2003-11-11,"This bill was enacted after being signed by the President on November 11, 2003.",2003-06-04,{},{},"To designate the facility of the United States Postal Service located at 2001 East Willard Street in Philadelphia, Pennsylvania, as the “Robert A. Borski Post Office Building”."
106,2847,house_bill,False,referred,,,1999-09-13,"This bill was introduced on September 13, 1999, in a previous session of Congress, but was not enacted.",1999-09-13,{},{},Waco Independent Investigation Act of 1999
112,3239,house_bill,False,referred,,,2011-10-21,"This bill was introduced on October 21, 2011, in a previous session of Congress, but was not enacted.",2011-10-21,{},{},Safeguarding Access For Every Medicare Patient Act
109,326,house_resolution,False,passed_simpleres,,,2005-07-20,"This simple resolution was agreed to on July 20, 2005. That is the end of the legislative process for a simple resolution.",2005-06-16,{},{},Calling for free and fair parliamentary elections in the Republic of Azerbaijan.
109,327,house_resolution,False,passed_simpleres,,,2006-06-06,"This simple resolution was agreed to on June 6, 2006. That is the end of the legislative process for a simple resolution.",2005-06-16,{},{},Supporting the goals and ideals of National Passport Month.
111,2493,house_bill,False,referred,,,2009-05-19,"This bill was introduced on May 19, 2009, in a previous session of Congress, but was not enacted.",2009-05-19,{},{},Judgment Evading Foreign States Accountability Act of 2009
108,2328,senate_bill,False,referred,,,2004-04-21,"This bill was introduced on April 21, 2004, in a previous session of Congress, but was not enacted.",2004-04-21,{},{},Pharmaceutical Market Access and Drug Safety Act of 2004
110,3584,house_bill,False,referred,,,2007-09-19,"This bill was introduced on September 19, 2007, in a previous session of Congress, but was not enacted.",2007-09-19,{},{},SCHIP Extension Act of 2007
110,896,house_resolution,False,passed_simpleres,,,2008-07-30,"This simple resolution was agreed to on July 30, 2008. That is the end of the legislative process for a simple resolution.",2007-12-19,{},{},"Recognizing the need to pursue research into the causes, a treatment, and an eventual cure for primary lateral sclerosis, supporting the goals and ideals of Primary Lateral Sclerosis Awareness Month, and for other purposes."
110,897,house_resolution,False,referred,,,2007-12-19,"This resolution was introduced on December 19, 2007, in a previous session of Congress, but was not enacted.",2007-12-19,{},{},"Recognizing the strategic importance of the African continent and welcoming the establishment of AFRICOM, and for other purposes."
112,1040,house_bill,False,referred,,,2011-03-11,"This bill was introduced on March 11, 2011, in a previous session of Congress, but was not enacted.",2011-03-11,{},{},Freedom Flat Tax Act
110,891,house_resolution,False,passed_simpleres,,,2008-04-22,"This simple resolution was agreed to on April 22, 2008. That is the end of the legislative process for a simple resolution.",2007-12-18,{},{},Celebrating 35 years of space-based observations of the Earth by the Landsat spacecraft and looking forward to sustaining the longest unbroken record of civil Earth observations of the land.
108,919,house_bill,False,referred,,,2003-02-26,"This bill was introduced on February 26, 2003, in a previous session of Congress, but was not enacted.",2003-02-26,{},{},Hometown Heroes Survivors Benefits Act
110,3582,house_bill,False,referred,,,2007-09-19,"This bill was introduced on September 19, 2007, in a previous session of Congress, but was not enacted.",2007-09-19,{},{},Fair Home Health Care Act
110,3232,house_bill,False,pass_over_house,,,2008-09-25,"This bill was introduced in a previous session of Congress and was passed by the House on September 25, 2008 but was never passed by the Senate.",2007-07-31,{},{},Travel Promotion Act of 2008
111,48,house_concurrent_resolution,False,referred,,,2009-02-11,"This resolution was introduced on February 11, 2009, in a previous session of Congress, but was not enacted.",2009-02-11,{},{},Expressing the sense of Congress that national health care reform should ensure that the health care needs of women and of all individuals in the United States are met.
107,634,house_bill,False,referred,,,2001-02-14,"This bill was introduced on February 14, 2001, in a previous session of Congress, but was not enacted.",2001-02-14,{},{},Straight Talk on Social Security Act of 2001
112,1048,house_bill,False,referred,,,2011-03-11,"This bill was introduced on March 11, 2011, in a previous session of Congress, but was not enacted.",2011-03-11,{},{},Tyler Clementi Higher Education Anti-Harassment Act of 2011
108,910,house_bill,False,referred,,,2003-02-25,"This bill was introduced on February 25, 2003, in a previous session of Congress, but was not enacted.",2003-02-25,{},{},Fair Disbursement of Offshore Oil Revenue Act of 2003
111,2933,house_bill,False,referred,,,2009-06-18,"This bill was introduced on June 18, 2009, in a previous session of Congress, but was not enacted.",2009-06-18,{},{},Firearm Recidivist Sentencing Act of 2009
111,2930,house_bill,False,referred,,,2009-06-17,"This bill was introduced on June 17, 2009, in a previous session of Congress, but was not enacted.",2009-06-17,{},{},Primary Care Training Enhancement Act
111,2931,house_bill,False,referred,,,2009-06-17,"This bill was introduced on June 17, 2009, in a previous session of Congress, but was not enacted.",2009-06-17,{},{},Kyle Barthel Veterans and Service Members Mental Health Screening Act
111,2936,house_bill,False,referred,,,2009-06-18,"This bill was introduced on June 18, 2009, in a previous session of Congress, but was not enacted.",2009-06-18,{},{},Bill to Underwrite Increased Lending to Domestic (BUILD) Manufacturing Act
110,4609,house_bill,False,referred,,,2007-12-13,"This bill was introduced on December 13, 2007, in a previous session of Congress, but was not enacted.",2007-12-13,{},{},To extend the temporary suspension of duty on FOE Hydroxy.
111,2935,house_bill,False,referred,,,2009-06-18,"This bill was introduced on June 18, 2009, in a previous session of Congress, but was not enacted.",2009-06-18,{},{},Travel Promotion Act of 2009
111,2939,house_bill,False,referred,,,2009-06-18,"This bill was introduced on June 18, 2009, in a previous session of Congress, but was not enacted.",2009-06-18,{},{},Oncology Care Quality Improvement Act of 2009
111,4340,house_bill,False,referred,,,2009-12-16,"This bill was introduced on December 16, 2009, in a previous session of Congress, but was not enacted.",2009-12-16,{},{},Main Street Survival Act
110,41,house_resolution,False,referred,,,2007-01-09,"This resolution was introduced on January 9, 2007, in a previous session of Congress, but was not enacted.",2007-01-09,{},{},Expressing the sense of the House of Representatives that an increase in number of members of the United States Forces deployed in Iraq is the wrong course of action and that a drastic shift in the political and diplomatic strategy of the United States is needed to help secure and stabilize Iraq.
112,2162,house_bill,False,referred,,,2011-06-14,"This bill was introduced on June 14, 2011, in a previous session of Congress, but was not enacted.",2011-06-14,{},{},Congressional Integrity and Pension Forfeiture Act of 2011
107,5023,house_bill,False,referred,,,2002-06-26,"This bill was introduced on June 26, 2002, in a previous session of Congress, but was not enacted.",2002-06-26,{},{},Dirty Bomb Prevention Act
110,2726,house_bill,False,referred,,,2007-06-14,"This bill was introduced on June 14, 2007, in a previous session of Congress, but was not enacted.",2007-06-14,{},{},Law Enforcement Officers Safety Act of 2007
111,5625,house_bill,False,referred,,,2010-06-29,"This bill was introduced on June 29, 2010, in a previous session of Congress, but was not enacted.",2010-06-29,{},{},Permanent Prevention of Asian Carp Act of 2010
110,2725,house_bill,False,referred,,,2007-06-14,"This bill was introduced on June 14, 2007, in a previous session of Congress, but was not enacted.",2007-06-14,{},{},Alarm Customer VOIP Notification Act of 2007
111,5622,house_bill,False,referred,,,2010-06-29,"This bill was introduced on June 29, 2010, in a previous session of Congress, but was not enacted.",2010-06-29,{},{},Stop Outsourcing and Create American Jobs Act of 2010
110,2720,house_bill,False,referred,,,2007-06-14,"This bill was introduced on June 14, 2007, in a previous session of Congress, but was not enacted.",2007-06-14,{},{},FARM 21 Act of 2007
110,6955,house_bill,False,referred,,,2008-09-18,"This bill was introduced on September 18, 2008, in a previous session of Congress, but was not enacted.",2008-09-18,{},{},Taxpayer Reimbursement Act of 2008
111,901,house_bill,False,referred,,,2009-02-04,"This bill was introduced on February 4, 2009, in a previous session of Congress, but was not enacted.",2009-02-04,{},{},Medical Bankruptcy Fairness Act
111,906,house_bill,False,referred,,,2009-02-04,"This bill was introduced on February 4, 2009, in a previous session of Congress, but was not enacted.",2009-02-04,{},{},Housing Disaster Area Foreclosure Prevention Act of 2009
111,905,house_bill,False,pass_over_house,,,2009-09-29,"This bill was introduced in a previous session of Congress and was passed by the House on September 29, 2009 but was never passed by the Senate.",2009-02-04,{},{},Thunder Bay National Marine Sanctuary and Underwater Preserve Boundary Modification Act
109,2290,house_bill,False,referred,,,2005-05-11,"This bill was introduced on May 11, 2005, in a previous session of Congress, but was not enacted.",2005-05-11,{},{},Family Budget Protection Act of 2005
109,2291,house_bill,False,referred,,,2005-05-11,"This bill was introduced on May 11, 2005, in a previous session of Congress, but was not enacted.",2005-05-11,{},{},Medical Malpractice Relief Act of 2005
109,5820,house_bill,False,referred,,,2006-07-17,"This bill was introduced on July 17, 2006, in a previous session of Congress, but was not enacted.",2006-07-17,{},{},Federal Agency Data Privacy Protection Act
111,909,house_bill,False,referred,,,2009-02-04,"This bill was introduced on February 4, 2009, in a previous session of Congress, but was not enacted.",2009-02-04,{},{},Public Diplomacy Resource Centers Act of 2009
109,2295,house_bill,False,referred,,,2005-05-11,"This bill was introduced on May 11, 2005, in a previous session of Congress, but was not enacted.",2005-05-11,{},{},Parental Empowerment Act of 2005
109,5825,house_bill,False,pass_over_house,,,2006-09-28,"This bill was introduced in a previous session of Congress and was passed by the House on September 28, 2006 but was never passed by the Senate.",2006-07-18,{},{},Electronic Surveillance Modernization Act
110,1738,senate_bill,False,enacted_signed,,,2008-10-13,"This bill was enacted after being signed by the President on October 13, 2008.",2007-06-28,{},{},PROTECT Our Children Act of 2008
110,3058,house_bill,False,prov_kill_suspensionfailed,,,2008-06-05,"This bill was introduced in a previous session of Congress but was killed due to a failed vote for cloture, under a fast-track vote called ""suspension"", or while resolving differences on June 5, 2008.",2007-07-17,{},{},Public Land Communities Transition Act of 2007
110,3057,house_bill,False,referred,,,2007-07-17,"This bill was introduced on July 17, 2007, in a previous session of Congress, but was not enacted.",2007-07-17,{},{},Medicare Long-Term Care Patient Safety and Improvement Act of 2007
110,3056,house_bill,False,pass_over_house,,,2007-10-10,"This bill was introduced in a previous session of Congress and was passed by the House on October 10, 2007 but was never passed by the Senate.",2007-07-17,{},{},Tax Collection Responsibility Act of 2007
112,2165,house_bill,False,referred,,,2011-06-14,"This bill was introduced on June 14, 2011, in a previous session of Congress, but was not enacted.",2011-06-14,{},{},To repeal the trade adjustment assistance programs under the Trade Act of 1974.
